日期,时段,电价,电力负荷,外送电,备用,光伏,风电
2022/6/1,13:00,349,30463,1125,7602,7294,5432
2022/6/1,13:15,350,30515,1125,7553,7252,5613
2022/6/1,13:30,350,30342,1125,7537,7196,5838
2022/6/1,13:45,350,30386,1125,7397,7119,6055
2022/6/1,14:00,350,30380,1125,7443,7023,6227
2022/6/1,14:15,347,30534,1125,7141,6896,6286
2022/6/1,14:30,347,30738,1125,7225,6747,6320
2022/6/1,14:45,347,30718,1125,7220,6567,6345
2022/6/1,15:00,347,30807,1125,7109,6328,6287
2022/6/1,15:15,363,30802,1125,7218,6062,6232
2022/6/1,15:30,363,30832,1125,6978,5750,6193
2022/6/1,15:45,363,30854,1125,6974,5401,6143
2022/6/1,16:00,363,30749,1125,6785,5030,6099
2022/6/1,16:15,352,30760,1218,6506,4617,6007
2022/6/1,16:30,352,30939,1312,6045,4183,5871
2022/6/1,16:45,352,31065,1406,5136,3730,5768
2022/6/1,17:00,352,31260,1500,4635,3256,5723
2022/6/1,17:15,393,31172,1500,4410,2782,5646
2022/6/1,17:30,393,31127,1500,4125,2328,5475
2022/6/1,17:45,393,31251,1500,3745,1883,5306
2022/6/1,18:00,393,31273,1500,3444,1446,5198
2022/6/1,18:15,429,31290,1500,3226,1027,5099
2022/6/1,18:30,429,31304,1500,3547,717,5028
2022/6/1,18:45,429,31274,1500,3399,700,4918
2022/6/1,19:00,429,31389,1500,2938,716,4877
2022/6/1,19:15,536,31517,1500,2787,391,4942
2022/6/1,19:30,536,31659,1500,2981,148,4970
2022/6/1,19:45,536,31772,1500,2441,12,5031
2022/6/1,20:00,536,31730,1500,2409,1,5057
2022/6/1,20:15,458,31899,1406,2409,0,5021
2022/6/1,20:30,458,32010,1312,2406,0,4945
2022/6/1,20:45,458,31990,1218,2408,0,4911
2022/6/1,21:00,458,31950,1125,2408,0,4891
2022/6/1,21:15,469,32034,1125,2410,0,5014
2022/6/1,21:30,469,32002,1125,2408,0,5188
2022/6/1,21:45,469,31979,1125,2407,0,5380
2022/6/1,22:00,469,31836,1125,2414,0,5590
2022/6/1,22:15,403,31631,1032,2496,0,5840
2022/6/1,22:30,403,31516,928,2865,0,5967
2022/6/1,22:45,403,31363,844,3164,0,6152
2022/6/1,23:00,403,31079,750,3402,0,6296
2022/6/1,23:15,382,30865,750,3665,0,6511
2022/6/1,23:30,382,30731,750,3832,0,6707
2022/6/1,23:45,382,30569,750,3817,0,6887
2022/6/1,0:00,382,30358,750,4094,0,7063
2022/6/2,0:15,620,30862,750,5065,0,4114
2022/6/2,0:30,620,30883,750,5124,0,4256
2022/6/2,0:45,620,30771,750,5335,0,4477
2022/6/2,1:00,620,30630,750,5533,0,4702
2022/6/2,1:15,627,30543,750,5694,0,4835
2022/6/2,1:30,627,30418,750,5940,0,5011
2022/6/2,1:45,627,30456,750,6009,0,5193
2022/6/2,2:00,627,30436,750,6177,0,5346
2022/6/2,2:15,632,30372,750,6431,0,5534
2022/6/2,2:30,632,30353,750,6549,0,5766
2022/6/2,2:45,632,30393,750,6664,0,5992
2022/6/2,3:00,632,30285,750,6850,0,6238
2022/6/2,3:15,627,30325,750,7095,0,6487
2022/6/2,3:30,627,30356,750,7181,0,6726
2022/6/2,3:45,627,30301,750,7348,0,6974
2022/6/2,4:00,627,30225,750,7507,0,7118
2022/6/2,4:15,625,30383,750,7443,0,7165
2022/6/2,4:30,625,30387,750,7330,0,7197
2022/6/2,4:45,625,30327,750,7476,2,7176
2022/6/2,5:00,625,30458,750,7483,5,7137
2022/6/2,5:15,624,30584,750,7373,12,7059
