AP,TP,RH,GHI,DHI
5.267799854,36.83856964,9.159065247,1145.877808,97.3449173
5.249866962,36.76842117,9.335492134,1146.543457,96.41904449
5.29986763,37.47354889,8.944224358,1151.543945,97.26579285
5.29366684,36.93077469,9.09376812,1150.76709,94.8313446
5.312833309,37.08320999,9.153855324,1153.647217,95.68793488
5.319433689,37.31137466,9.081792831,1150.16748,92.65644073
5.240133762,37.4581337,8.999283791,1149.418579,92.11013031
5.252433777,37.36513138,9.019345284,1152.37085,96.35714722
5.225667,37.39806747,9.01154232,1145.149292,90.81797028
5.26720047,37.75417709,8.836042404,1144.77417,93.05714417
5.321234226,37.91247559,8.809109688,1144.628418,95.3030777
5.304066658,37.82711792,8.780958176,1138.009521,91.70089722
5.293766975,37.70953369,8.843395233,1134.454712,94.62488556
5.27873373,37.71954727,8.847047806,1125.437378,93.40222168
5.284599781,38.14916611,8.694695473,1117.46582,90.29327393
5.292599678,37.95983887,8.755083084,1118.02417,96.28219604
5.265367031,38.39377594,8.564319611,1105.669678,89.39874268
5.220600128,37.87511444,8.727237701,1097.70166,87.63935089
5.187132835,38.82300186,8.506047249,1086.4646,80.94764709
5.159199715,38.8621521,8.400530815,1082.273438,84.20503235
5.175932407,38.46141052,8.531461716,1080.103638,93.21083832
5.16323328,38.34169388,8.670870781,1070.348633,91.95476532
5.133066654,39.07378769,8.402871132,1054.341553,83.30404663
5.062333107,38.79175568,8.538024902,1044.334473,84.85978699
5.049533844,38.56467819,8.602918625,1040.100952,92.81783295
5.003333569,38.63892746,8.562156677,1023.077637,85.46639252
4.987733364,38.45044708,8.655592918,1016.066406,90.40750885
4.926366806,38.50128174,8.635128021,999.3248291,86.5954895
4.827433586,38.84326935,8.521989822,982.727356,83.86872101
4.814634323,38.95998001,8.414055824,978.8909912,94.9437027
4.783967018,38.52987671,8.565171242,967.7058105,100.9015503
4.69230032,38.49425507,8.632146835,946.6542358,95.39822388
4.60316658,38.71794891,8.47390461,936.418335,92.36814117
4.597833157,38.44544601,8.591039658,928.8557129,100.0631943
4.542299747,38.24193573,8.650133133,911.3652344,95.42608643
4.463633537,38.21147537,8.685192108,893.6610718,90.78742981
4.407133102,38.58527374,8.548954964,881.012085,93.02941895
4.35583353,38.38098145,8.542351723,862.5936279,91.18379211
4.264300346,38.36964035,8.612897873,843.6657715,85.8319397
4.208133221,38.2430687,8.645186424,831.7436523,86.61733246
4.131299973,38.29101944,8.555005074,810.1901855,81.25643921
4.020866871,38.3488121,8.594816208,789.5288086,75.22940826
3.944333792,38.79312134,8.450452805,774.7759399,78.23625946
3.870233774,38.57349396,8.439893723,761.5498047,81.02924347
3.822966576,38.61869812,8.442756653,740.5057983,77.41996002
3.729466915,38.18687439,8.586906433,712.9789429,73.71895599
3.61313343,38.2124176,8.569174767,684.2900391,69.15020752
3.506400108,38.25869751,8.577661514,661.5622559,66.85147095
3.430299759,38.76144028,8.388502121,641.1881104,64.50680542
3.328266621,37.99858856,8.580467224,623.2826538,63.11639786
3.224099874,37.8387146,8.721700668,606.8395386,63.73754501
3.115933418,38.19355392,8.609605789,587.7733154,63.49871826
3.016566992,38.00893021,8.619662285,569.5220947,63.21630859
2.906599998,37.87715912,8.656316757,548.5812988,61.7085228
2.788233519,37.93528366,8.665709496,523.8259277,56.15406799
2.666866779,37.87782669,8.701723099,500.7583923,53.91788101
2.558233023,38.02892303,8.633332253,478.9308472,51.51737976
2.441000223,37.76197815,8.716104507,462.8201904,54.93444061
2.318333149,37.61154556,8.752895355,443.1055908,54.92942429
2.190799952,37.40100479,8.840074539,420.1493835,51.57908249
2.068466425,37.3645134,8.844342232,399.1075134,52.21785736
1.944066644,37.08224869,8.951849937,377.6729126,51.33790207
1.810600162,37.12452316,8.949261665,352.1261292,46.97333145
1.674466729,37.36162186,8.86555481,326.4107361,42.35456467
1.544566631,37.10875702,8.951259613,306.9934387,43.76545715
1.410300016,36.92679596,9.031409264,284.1929321,42.99684906
1.281400084,36.93634033,8.994702339,260.6742859,41.84447861
1.149366736,36.83130264,9.127363205,236.7300262,40.15661621
1.016633272,37.01612854,9.07361412,211.9629517,37.56391907
0.8877334,36.80311966,9.158921242,188.5867767,36.1101532
0.76273334,36.66048431,9.208739281,168.0420532,36.19152451
0.641666651,36.61148071,9.274783134,148.1503296,35.47725296
0.52306664,36.44239426,9.31536293,128.2471924,33.80721283
0.423733294,36.23828888,9.372531891,109.4843521,32.95438004
0.327833354,36.03548431,9.480348587,90.51832581,30.93228531
0.240399987,35.97145081,9.577476501,74.30295563,28.23294067
